subject_id,subject_type,url,data_updated_at,data_created_at,data_level,data_slug,data_characters,data_lesson_position,data_spaced_repetition_system_id,data_hidden_at,has_reading,has_context_sentences,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
47,radical,https://api.wanikani.com/v2/subjects/47,2026-02-24 16:35:25.819410+00:00,2012-02-28 21:17:50+00:00,2,dog,犬,23,2,,0,0,0,10,0,0
48,radical,https://api.wanikani.com/v2/subjects/48,2026-02-27 03:26:37.001449+00:00,2012-02-28 21:18:44+00:00,2,king,王,24,2,,0,0,0,35,0,0
49,radical,https://api.wanikani.com/v2/subjects/49,2025-11-13 01:56:11.967538+00:00,2012-02-28 21:19:55+00:00,2,middle,中,25,2,,0,0,0,5,0,0
50,radical,https://api.wanikani.com/v2/subjects/50,2025-10-01 06:09:46.757721+00:00,2012-02-28 21:20:23+00:00,2,book,本,26,2,,0,0,0,3,0,0
51,radical,https://api.wanikani.com/v2/subjects/51,2026-04-06 18:42:06.301930+00:00,2012-02-28 21:21:52+00:00,2,rice-paddy,田,27,2,,0,0,0,40,0,0
52,radical,https://api.wanikani.com/v2/subjects/52,2025-11-11 23:30:42.218788+00:00,2012-02-28 21:22:25+00:00,2,white,白,28,2,,0,0,0,17,0,0
53,radical,https://api.wanikani.com/v2/subjects/53,2026-03-23 02:54:10.694388+00:00,2012-02-28 21:22:47+00:00,2,eye,目,29,2,,0,0,0,25,0,0
54,radical,https://api.wanikani.com/v2/subjects/54,2026-03-31 18:09:54.496507+00:00,2012-02-28 21:23:15+00:00,3,stone,石,28,1,,0,0,0,17,0,0
55,radical,https://api.wanikani.com/v2/subjects/55,2026-01-11 23:40:37.858322+00:00,2012-02-28 21:23:35+00:00,2,stand,立,30,2,,0,0,0,29,0,0
56,radical,https://api.wanikani.com/v2/subjects/56,2025-11-26 07:49:08.709778+00:00,2012-03-01 01:50:04+00:00,6,lion,L,3,1,,0,0,0,6,0,0
57,radical,https://api.wanikani.com/v2/subjects/57,2026-03-29 19:20:54.638732+00:00,2012-03-01 01:50:35+00:00,3,spoon,匕,1,1,,0,0,0,21,0,0
58,radical,https://api.wanikani.com/v2/subjects/58,2025-10-15 19:00:26.414327+00:00,2012-03-01 01:51:28+00:00,3,ra-58,ラ,6,1,2018-12-05 18:38:49.886907+00:00,0,0,0,0,0,0
59,radical,https://api.wanikani.com/v2/subjects/59,2025-10-15 19:00:26.384237+00:00,2012-03-01 01:52:13+00:00,3,raptor-cage-59,久,4,1,2018-12-05 18:38:50.736614+00:00,0,0,0,0,0,0
60,radical,https://api.wanikani.com/v2/subjects/60,2026-02-26 05:21:06.048836+00:00,2012-03-01 01:54:32+00:00,3,winter,夂,7,1,,0,0,0,53,0,0
61,radical,https://api.wanikani.com/v2/subjects/61,2025-12-11 20:12:42.827076+00:00,2012-03-01 01:55:20+00:00,3,dry,干,8,1,,0,0,0,17,0,0
62,radical,https://api.wanikani.com/v2/subjects/62,2026-04-06 18:22:05.925856+00:00,2012-03-01 01:55:39+00:00,3,canopy,广,9,1,,0,0,0,28,0,0
63,radical,https://api.wanikani.com/v2/subjects/63,2026-04-01 06:49:24.911379+00:00,2012-03-01 01:56:23+00:00,3,fingers,扌,10,1,,0,0,0,88,0,0
64,radical,https://api.wanikani.com/v2/subjects/64,2025-10-01 06:09:46.854192+00:00,2012-03-01 01:56:35+00:00,4,origin,元,7,1,,0,0,0,5,0,0
65,radical,https://api.wanikani.com/v2/subjects/65,2026-04-09 00:59:45.447543+00:00,2012-03-01 01:56:47+00:00,3,heart,心,12,1,,0,0,0,53,0,0
66,radical,https://api.wanikani.com/v2/subjects/66,2026-02-04 19:13:41.173292+00:00,2012-03-01 01:57:03+00:00,3,direction,方,13,1,,0,0,0,21,0,0
67,radical,https://api.wanikani.com/v2/subjects/67,2025-10-15 19:00:26.511776+00:00,2012-03-01 01:57:18+00:00,3,fur,毛,15,1,,0,0,0,2,0,0
68,radical,https://api.wanikani.com/v2/subjects/68,2026-03-31 18:01:24.564442+00:00,2012-03-01 01:57:27+00:00,3,father,父,16,1,,0,0,0,3,0,0
69,radical,https://api.wanikani.com/v2/subjects/69,2026-01-31 00:13:37.638329+00:00,2012-03-01 01:57:42+00:00,3,old,古,17,1,,0,0,0,11,0,0
