review_stat_id,object,url,data_updated_at,data_created_at,subject_id,data_subject_type,data_meaning_correct,data_meaning_incorrect,data_meaning_max_streak,data_meaning_current_streak,data_reading_correct,data_reading_incorrect,data_reading_max_streak,data_reading_current_streak,data_percentage_correct,data_hidden
464596416,review_statistic,https://api.wanikani.com/v2/review_statistics/464596416,2025-08-02 21:58:42.999933+00:00,2025-02-06 21:12:27.150984+00:00,2473,vocabulary,8,0,8,8,8,0,8,8,100,False
464596421,review_statistic,https://api.wanikani.com/v2/review_statistics/464596421,2025-08-02 21:27:10.431060+00:00,2025-02-06 21:12:29.778994+00:00,28,radical,8,0,8,8,8,0,8,8,100,False
465042985,review_statistic,https://api.wanikani.com/v2/review_statistics/465042985,2025-08-02 21:27:27.730813+00:00,2025-02-07 17:54:44.151216+00:00,2474,vocabulary,8,0,8,8,8,0,8,8,100,False
465042995,review_statistic,https://api.wanikani.com/v2/review_statistics/465042995,2025-08-02 21:59:51.682535+00:00,2025-02-07 17:54:48.195550+00:00,29,radical,8,0,8,8,8,0,8,8,100,False
465043004,review_statistic,https://api.wanikani.com/v2/review_statistics/465043004,2025-08-02 22:07:56.844925+00:00,2025-02-07 17:54:58.777767+00:00,2475,vocabulary,8,0,8,8,8,0,8,8,100,False
465043029,review_statistic,https://api.wanikani.com/v2/review_statistics/465043029,2025-08-02 21:34:13.756744+00:00,2025-02-07 17:55:13.885373+00:00,2476,vocabulary,8,0,8,8,8,0,8,8,100,False
465043040,review_statistic,https://api.wanikani.com/v2/review_statistics/465043040,2025-08-02 22:05:37.709748+00:00,2025-02-07 17:55:18.475121+00:00,31,radical,8,0,8,8,8,0,8,8,100,False
465043130,review_statistic,https://api.wanikani.com/v2/review_statistics/465043130,2025-09-27 13:32:00.735255+00:00,2025-02-07 17:55:58.959138+00:00,32,radical,11,1,6,5,11,0,11,11,96,False
465043146,review_statistic,https://api.wanikani.com/v2/review_statistics/465043146,2025-08-03 21:08:43.615678+00:00,2025-02-07 17:56:08.996096+00:00,2477,vocabulary,9,0,9,9,9,1,9,9,95,False
465043157,review_statistic,https://api.wanikani.com/v2/review_statistics/465043157,2025-08-02 21:30:47.881868+00:00,2025-02-07 17:56:14.624991+00:00,471,kanji,8,0,8,8,8,0,8,8,100,False
465043176,review_statistic,https://api.wanikani.com/v2/review_statistics/465043176,2025-08-02 21:36:41.067202+00:00,2025-02-07 17:56:22.428512+00:00,2480,vocabulary,8,0,8,8,8,0,8,8,100,False
465043183,review_statistic,https://api.wanikani.com/v2/review_statistics/465043183,2025-08-02 21:54:51.771956+00:00,2025-02-07 17:56:25.460858+00:00,33,radical,8,0,8,8,8,0,8,8,100,False
