snapshot_date,subject_id,subject_type,data_level,data_srs_stage,pct_correct,total_attempts_est,total_incorrect,meaning_error_rate,reading_error_rate,data_meaning_current_streak,data_reading_current_streak,data_meaning_max_streak,data_reading_max_streak,age_days_since_unlocked,days_since_assignment_update,has_reading,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
2026-04-21,7540,vocabulary,15,7,91.0,33.0,3.0,0.16666666666666666,0.0,4.0,15.0,5.0,15.0,309.01340710489586,25.445899448078702,1,2,0,0,2
2026-04-21,7544,vocabulary,15,8,90.0,42.0,4.0,0.0,0.17391304347826086,19.0,5.0,19.0,5.0,309.0134070699537,112.33435337641203,1,1,0,0,1
2026-04-21,3904,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134070285301,88.43353555223379,1,2,0,0,2
2026-04-21,242,radical,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134069804282,82.91048021670139,0,0,3,0,0
2026-04-21,245,radical,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340694307873,109.83333414717592,0,0,2,0,0
2026-04-21,959,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134068985533,103.42043811342593,1,3,4,2,0
2026-04-21,3894,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134068603819,88.43656421098379,1,1,0,0,2
2026-04-21,919,kanji,15,9,92.0,24.0,2.0,0.15384615384615385,0.0,9.0,11.0,9.0,11.0,309.01340682214123,106.91133361625,1,2,5,9,0
2026-04-21,930,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340677900464,76.70372971671296,1,2,4,2,0
2026-04-21,934,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340674032406,107.93571363408564,1,2,1,0,0
2026-04-21,936,kanji,15,8,93.0,28.0,2.0,0.07142857142857142,0.07142857142857142,9.0,3.0,9.0,10.0,309.01340670175927,49.996808651261574,1,2,7,2,0
2026-04-21,938,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134066582292,107.27993124836806,1,2,1,7,0
2026-04-21,942,kanji,15,8,91.0,33.0,3.0,0.0625,0.11764705882352941,4.0,6.0,11.0,8.0,309.0134066223379,11.435375046446758,1,1,4,5,0
2026-04-21,951,kanji,15,9,96.0,23.0,1.0,0.0,0.08333333333333333,11.0,7.0,11.0,7.0,309.0134065814815,93.16955167640046,1,2,1,4,0
2026-04-21,956,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01340654421296,103.41745448699075,1,2,8,3,0
2026-04-21,8984,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134062762963,103.42238014590278,1,1,0,0,1
